Title,Body,Labels,Milestone
EPIC: Receipt Processing MVP,"Goal: A reliable, reviewable pipeline that ingests receipts (PDF/JPG/PNG), extracts fields + line items, and exports a clean dataset + reports.

Scope:
- Ingestion (watch folder + manual upload)
- OCR abstraction (DocTR default; optional Textract AnalyzeExpense adapter)
- Core field extraction (date, merchant, subtotal, tax, tip, total, currency, payment method, last4 if present)
- Line item parsing (description, qty, unit price, amount)
- Validation + duplicate detection
- Streamlit review UI
- Excel/PDF exports with branding & hyperlinks
- SQLite storage + schema

Acceptance:
- Process a mixed folder of 100+ receipts in under 10 minutes on typical laptop.
- ≥ 95% correct totals; ≥ 90% correct dates; ≥ 85% correct merchant names on benchmark set.
- Reviewer can fix any field in UI; edits persisted to DB and exports.
- Single command `receipt_app run --config configs/config.yaml` completes pipeline.","type:epic, priority:P0, milestone:MVP, area:product",v0.1 MVP
Create ingestion service: watch folder + manual file picker,"Implement two inputs:
1) Watch folder (configurable). Auto-import new files; move to `processed/failed`.
2) Manual upload via CLI and Streamlit.

Acceptance:
- Supports PDF/JPG/PNG/TIFF.
- De-duplicates by content hash and page image hash.
- Logs each import with timestamp, source, and hash.","type:feature, priority:P0, area:ingestion, milestone:MVP",v0.1 MVP
OCR engine abstraction with DocTR default (pluggable engines),"Build `ocr/engine.py` with a clean interface: `recognize(images, lang)`.
- Default: DocTR (Python 3.10 friendly)
- Optional adapters: AWS Textract AnalyzeExpense (behind feature flag), Tesseract (fallback)

Acceptance:
- Switch via config `ocr.engine: doctr|textract|tesseract`.
- Uniform output schema: words, lines, blocks with bbox + confidence.
- Auto-rotate/deskew; DPI normalization; grayscale + binarization toggles.","type:feature, priority:P0, area:ocr, milestone:MVP",v0.1 MVP
"Preprocessing pipeline for scans (deskew, denoise, contrast, threshold)","Add image preprocessing with config flags:
- Auto-rotate, deskew, dewarp (mild), denoise
- Contrast/brightness/gamma, adaptive threshold
- Edge sharpening (optional)
- PDF page rasterization at target DPI

Acceptance:
- Improves OCR word recall ≥ 3% on benchmark.
- Per-file debug images saved when `debug:true`.","type:feature, priority:P1, area:ocr, milestone:MVP",v0.1 MVP
Vendor detection + normalization map,"Detect merchant/vendor via logo/text heuristics + fuzzy match.
- Maintain `configs/vendor_aliases.yaml` (e.g., 'WAL-MART', 'Walmart Inc.').
- Confidence scoring; expose in UI.

Acceptance:
- ≥ 90% correct merchant on benchmark or offer top-3 suggestions for quick pick.","type:feature, priority:P0, area:extraction",v0.1 MVP
"Field extraction: date, subtotal, tax, tip, total, currency, payment method","Implement robust parsing with locale-aware date + currency.
- Heuristics + regex selectors using OCR structure (key-value proximity).
- Payment method inference: card type + last4 when present.

Acceptance:
- ≥ 95% total match; discrepancies flagged with reason (rounding, parsing failure).
- Confidence per field; low-confidence flagged in UI for review.","type:feature, priority:P0, area:extraction",v0.1 MVP
Line-item table detection and parsing,"Parse line items from tabular/near-tabular layouts:
- Column inference (desc, qty, unit price, amount)
- Multi-line descriptions
- Totals reconciliation

Acceptance:
- On receipts with visible line items, capture ≥ 80% of rows correctly on benchmark.
- If not present, degrade gracefully and mark `line_items_extracted=false`.","type:feature, priority:P0, area:extraction",v0.1 MVP
Duplicate detection & collision handling,"Implement robust de-duplication:
- Content hash (text), image hash (pHash), amount+date+merchant fuzzy key
- UI to merge or skip duplicates

Acceptance:
- Prevents double import across watch folder + manual upload.","type:feature, priority:P0, area:pipeline",v0.1 MVP
Validation rules & reconciliation checks,"Add validation layer:
- subtotal + tax + tip ≈ total (tolerance configurable)
- currency normalization; tax % plausible; date not in future
- Emit `validation_status` + reasons

Acceptance:
- All receipts tagged pass/warn/fail with machine-readable reasons.","type:feature, priority:P0, area:quality",v0.1 MVP
SQLite schema + migrations (Alembic),"Create normalized schema:
- receipts, vendors, payments, line_items, files, categories, corrections
- Alembic for migrations
- Unique constraints for de-dup

Acceptance:
- `alembic upgrade head` bootstraps DB; CRUD via repository layer.","type:feature, priority:P0, area:data",v0.1 MVP
